Timestamp,Email Address,LAST NAME,FIRST NAME,GRADE ENTERING NEXT YEAR,CURRENT ADVISOR,WOULD YOU LIKE TO HAVE THE SAME ADVISOR NEXT YEAR?,Please rank your advisor preference: [First choice],Please rank your advisor preference: [Second choice],Please rank your advisor preference: [Third choice],Please rank your advisor preference: [Fourth choice],Would you consider having a new teacher as an advisor?
5/31/2018 9:43:46,rtanter@yahoo.ca,Marshall,Buster,12th Grade,Ferguson ,No,Rais,Sevits,Mr. Houston - All Things International (new teacher!),"O'Hara McCray - Fun, Food, and Feliz",YES
5/31/2018 9:43:51,curly@comcast.net,Foster,Roscoe,12th Grade,Beard,No,Most,King,Beard,Sevits,YES
5/31/2018 9:43:54,matthijs@att.net,Carroll,Champ,11th Grade,Enos/Doherty ,No,Bostford,Morrow - Music Appreciation,King,Sevits,NO
5/31/2018 9:43:54,cumarana@icloud.com,Castaneda,Luna,11th Grade,McClorey Timoh! ,Yes,"O'Hara McCray - Fun, Food, and Feliz",Doherty - Knit & DIYs,Pacheco - Random Acts of Kindness,Churchill - Paper Recycling,YES
5/31/2018 9:43:59,evilopie@gmail.com,Morrison,Daisy,10th Grade,Mr Churchill,Yes,Churchill - Paper Recycling,"O'Hara McCray - Fun, Food, and Feliz",Murphy/Bade- Animal Rights,Ferguson,NO
5/31/2018 9:43:59,mgreen@aol.com,Clay,Princess,11th Grade,Pags,Yes,Pagenkopf - Math is Awesome!,Bonilla,Murphy/Bade- Animal Rights,"O'Hara McCray - Fun, Food, and Feliz",NO
5/31/2018 9:44:01,gknauss@me.com,Skinner,Winston,11th Grade,Pacheco,Yes,Mr. Houston - All Things International (new teacher!),Bostford,"O'Hara McCray - Fun, Food, and Feliz",Doherty - Knit & DIYs,YES
5/31/2018 9:44:11,wayward@verizon.net,Huang,Foster,12th Grade,Pacheco/ Gentile ,Yes,"O'Hara McCray - Fun, Food, and Feliz",Singer/Enos - Ultimate Frisbee,Rais,Sevits,YES
5/31/2018 9:44:12,burniske@aol.com,Hatfield,Bruiser,11th Grade,Rhoades ,No,"O'Hara McCray - Fun, Food, and Feliz",Churchill - Paper Recycling,Moynihan - Nutrition Nuts,Pagenkopf - Math is Awesome!,YES
5/31/2018 9:44:13,rtanter@sbcglobal.net,Ramsey,Maximus,12th Grade,Churchill,No,Wooton - Bottle Recycling/Current Events,Churchill - Paper Recycling,Mee,Milligan - Sententiae Antiguae,NO
5/31/2018 9:44:18,sethbrown@att.net,Branch,Shadow,11th Grade,Mrs. McCray,Yes,"O'Hara McCray - Fun, Food, and Feliz",Pagenkopf - Math is Awesome!,Wooton - Bottle Recycling/Current Events,Moynihan - Nutrition Nuts,NO
5/31/2018 9:44:21,leocharre@yahoo.ca,Weaver,Missy,12th Grade,Sevits ,No,Singer/Enos - Ultimate Frisbee,Tecklenburg/McDowell,Sevits,Mee,YES
5/31/2018 9:44:22,raides@icloud.com,Burnett,Piper,11th Grade,Churchill ,No,Mr. Houston - All Things International (new teacher!),Moynihan - Nutrition Nuts,Pagenkopf - Math is Awesome!,"O'Hara McCray - Fun, Food, and Feliz",YES
5/31/2018 9:44:24,smartfart@gmail.com,James,Chico,12th Grade,Mrs.Mccray,Yes,"O'Hara McCray - Fun, Food, and Feliz",Weida,Mee,Guibal,NO
5/31/2018 9:44:28,imightb@mac.com,Mason,Delilah,11th Grade,Richenburg/McDowell,No,Pagenkopf - Math is Awesome!,Pace,Mee,Singer/Enos - Ultimate Frisbee,NO
5/31/2018 9:44:32,kevinm@live.com,Obrien,Chloe,12th Grade,Siafila / french,No,Bonilla,Mr. Houston - All Things International (new teacher!),Sevits,King,YES
5/31/2018 9:44:36,wainwrig@hotmail.com,Ewing,Honey,10th Grade,Beard,No,Singer/Enos - Ultimate Frisbee,Mee,Weida,Bonilla,NO
5/31/2018 9:44:38,kawasaki@aol.com,Oneal,Josie,10th Grade,Mrs.Pacheco ,No,"O'Hara McCray - Fun, Food, and Feliz",Singer/Enos - Ultimate Frisbee,Wooton - Bottle Recycling/Current Events,Churchill - Paper Recycling,YES
5/31/2018 9:44:40,janusfury@hotmail.com,Ali,Louie,12th Grade,Mrs. Singer ,Yes,Singer/Enos - Ultimate Frisbee,King,Weida,Mee,YES
5/31/2018 9:44:41,jlbaumga@msn.com,House,Roxie,12th Grade,mr. mee,No,Rais,"O'Hara McCray - Fun, Food, and Feliz",Doherty - Knit & DIYs,Bonilla,NO
5/31/2018 9:44:41,shrapnull@yahoo.ca,Garcia,Kona,10th Grade,Churchill ,Yes,Churchill - Paper Recycling,Mr. Houston - All Things International (new teacher!),Wooton - Bottle Recycling/Current Events,Singer/Enos - Ultimate Frisbee,NO
5/31/2018 9:44:43,cmdrgravy@verizon.net,Moyer,Sally,11th Grade,beard,No,Tecklenburg/McDowell,Wooton - Bottle Recycling/Current Events,"O'Hara McCray - Fun, Food, and Feliz",Churchill - Paper Recycling,NO
5/31/2018 9:44:47,tskirvin@mac.com,Mcdaniel,Miley,12th Grade,Botsford,Yes,Bostford,Murphy/Bade- Animal Rights,Doherty - Knit & DIYs,Ferguson,NO
5/31/2018 9:44:52,dhwon@mac.com,Mora,Toby,12th Grade,Mee,Yes,Mee,"O'Hara McCray - Fun, Food, and Feliz",Bostford,Bonilla,YES
5/31/2018 9:44:54,amcuri@me.com,Cooper,Samantha,10th Grade,Mr.Beard ,No,Pacheco - Random Acts of Kindness,"O'Hara McCray - Fun, Food, and Feliz",Ms. Houston - Gabbing and Games (new teacher!),Rhoads - Mindfulness,YES
5/31/2018 9:44:56,danny@icloud.com,Ferrell,Athena,11th Grade,Weida,No,Pagenkopf - Math is Awesome!,Ferguson,Murphy/Bade- Animal Rights,"O'Hara McCray - Fun, Food, and Feliz",NO
5/31/2018 9:44:57,stern@sbcglobal.net,Wilkins,Bella,11th Grade,Bade/Arledge ,Yes,Pagenkopf - Math is Awesome!,Murphy/Bade- Animal Rights,Morrow - Music Appreciation,Ms. Houston - Gabbing and Games (new teacher!),YES
5/31/2018 9:45:01,liedra@icloud.com,Randolph,Mickey,12th Grade,Pags,Yes,Singer/Enos - Ultimate Frisbee,Rais,Sevits,Pagenkopf - Math is Awesome!,YES
5/31/2018 9:45:05,pspoole@comcast.net,Holden,Blue,10th Grade,Mrs.Botsford,Yes,Bostford,Milligan - Sententiae Antiguae,Pagenkopf - Math is Awesome!,"O'Hara McCray - Fun, Food, and Feliz",NO
5/31/2018 9:45:07,wojciech@live.com,Lamb,Monkey,12th Grade,McClorey and Milligan,No,"O'Hara McCray - Fun, Food, and Feliz",Bonilla,Rais,Sevits,YES
5/31/2018 9:45:07,alhajj@att.net,Taylor,Loki,10th Grade,Mr. McDowell,Yes,Milligan - Sententiae Antiguae,Singer/Enos - Ultimate Frisbee,Kelly,Mee,YES
5/31/2018 9:45:08,north@icloud.com,Lewis,Beau,11th Grade,newcomb,No,"O'Hara McCray - Fun, Food, and Feliz",Churchill - Paper Recycling,Moynihan - Nutrition Nuts,Bostford,YES
5/31/2018 9:45:08,djpig@icloud.com,Banks,Hank,11th Grade,"Me, Siaflas/ Mr. French",No,Ms. Houston - Gabbing and Games (new teacher!),Singer/Enos - Ultimate Frisbee,"O'Hara McCray - Fun, Food, and Feliz",Mr. Houston - All Things International (new teacher!),YES
5/31/2018 9:45:08,thurston@me.com,Kaiser,Bruno,10th Grade,Mee,No,Milligan - Sententiae Antiguae,Forget,Mee,Mr. Houston - All Things International (new teacher!),NO
5/31/2018 9:45:10,seebs@mac.com,Phillips,Lucky,12th Grade,Racine + Archer,No,Singer/Enos - Ultimate Frisbee,"O'Hara McCray - Fun, Food, and Feliz",Moynihan - Nutrition Nuts,Rais,NO
5/31/2018 9:45:13,kludge@yahoo.ca,Figueroa,Emma,10th Grade,Pace/Bonilla,No,"O'Hara McCray - Fun, Food, and Feliz",Singer/Enos - Ultimate Frisbee,Archer,Bostford,YES
5/31/2018 9:45:13,jonas@att.net,Cherry,Bear,11th Grade,Tecklenberg and McDowell ,No,"O'Hara McCray - Fun, Food, and Feliz",Doherty - Knit & DIYs,Murphy/Bade- Animal Rights,Ms. Houston - Gabbing and Games (new teacher!),YES
5/31/2018 9:45:14,demmel@optonline.net,Foley,Porter,11th Grade,Weida ,No,"O'Hara McCray - Fun, Food, and Feliz",Murphy/Bade- Animal Rights,Doherty - Knit & DIYs,Ms. Houston - Gabbing and Games (new teacher!),YES
5/31/2018 9:45:16,jacks@live.com,Sandoval,Brandy,10th Grade,Ms. King,No,Bostford,Archer,Murphy/Bade- Animal Rights,Pacheco - Random Acts of Kindness,YES
5/31/2018 9:45:23,osaru@outlook.com,Douglas,Raven,12th Grade,Tecklenburg,No,Rais,"O'Hara McCray - Fun, Food, and Feliz",Tecklenburg/McDowell,Bostford,NO
5/31/2018 9:45:25,pkplex@gmail.com,Macias,Lady,12th Grade,Ms. Milligan ,No,Rais,"O'Hara McCray - Fun, Food, and Feliz",Tecklenburg/McDowell,Bonilla,NO
5/31/2018 9:45:26,eimear@me.com,Dodson,Sydney,10th Grade,Ms McCray,Yes,"O'Hara McCray - Fun, Food, and Feliz",Singer/Enos - Ultimate Frisbee,Mr. Houston - All Things International (new teacher!),Kelly,NO
5/31/2018 9:45:34,hling@yahoo.com,Palmer,Luke,12th Grade,Mr. Weida,No,Most,Rais,Sevits,Moynihan - Nutrition Nuts,YES
5/31/2018 9:45:35,josem@gmail.com,Whitaker,George,10th Grade,Rhodes,No,Churchill - Paper Recycling,"O'Hara McCray - Fun, Food, and Feliz",Doherty - Knit & DIYs,Wooton - Bottle Recycling/Current Events,YES
5/31/2018 9:45:37,lstein@me.com,Harmon,Cricket,12th Grade,Pacheco,No,Moynihan - Nutrition Nuts,Forget,Rais,Bonilla,YES
5/31/2018 9:45:38,jmgomez@sbcglobal.net,Richmond,Dixie,10th Grade,Singer,No,Milligan - Sententiae Antiguae,Kelly,Bostford,"O'Hara McCray - Fun, Food, and Feliz",NO
5/31/2018 9:45:40,gator@aol.com,Solomon,Abby,11th Grade,Mr. Churchill,No,Sevits,Pacheco - Random Acts of Kindness,Wooton - Bottle Recycling/Current Events,Moynihan - Nutrition Nuts,YES
5/31/2018 9:45:41,sumdumass@sbcglobal.net,Alvarez,Bruce,11th Grade,Milligan,No,"O'Hara McCray - Fun, Food, and Feliz",Churchill - Paper Recycling,Moynihan - Nutrition Nuts,Pagenkopf - Math is Awesome!,YES
5/31/2018 9:45:41,shaffei@mac.com,Tran,Winnie,12th Grade,Martinez/Mullan ,No,Sevits,Tecklenburg/McDowell,King,Moynihan - Nutrition Nuts,YES
5/31/2018 9:45:46,dmath@aol.com,Rhodes,Cleo,10th Grade,Rais / Gubal,Yes,"O'Hara McCray - Fun, Food, and Feliz",Churchill - Paper Recycling,Murphy/Bade- Animal Rights,Doherty - Knit & DIYs,NO
5/31/2018 9:45:46,tellis@optonline.net,Santos,Casey,10th Grade,Mr. Archer ,No,"O'Hara McCray - Fun, Food, and Feliz",Bonilla,Churchill - Paper Recycling,Doherty - Knit & DIYs,YES
5/31/2018 9:45:50,russotto@sbcglobal.net,Miles,Willow,10th Grade,Ms. Most,No,Milligan - Sententiae Antiguae,"O'Hara McCray - Fun, Food, and Feliz",Pagenkopf - Math is Awesome!,Murphy/Bade- Animal Rights,NO
5/31/2018 9:45:53,leviathan@outlook.com,Cannon,Callie,11th Grade,Rhoads,Yes,Rhoads - Mindfulness,Singer/Enos - Ultimate Frisbee,Forget,Murphy/Bade- Animal Rights,YES
5/31/2018 9:45:53,gregh@optonline.net,Cameron,Brutus,12th Grade,Mr. Tecklenburg,No,Sevits,Tecklenburg/McDowell,King,Mr. Houston - All Things International (new teacher!),YES
5/31/2018 9:45:55,british@comcast.net,Bowman,Sparky,10th Grade,Ms Siaflas,No,Bostford,Archer,Weida,Kelley - Big Think,NO
5/31/2018 9:45:56,jdhildeb@yahoo.com,Nguyen,Lola,12th Grade,Sevits/Aldo,No,Mr. Houston - All Things International (new teacher!),Churchill - Paper Recycling,Rais,Singer/Enos - Ultimate Frisbee,YES
5/31/2018 9:45:57,mhouston@comcast.net,Russo,Dolce,12th Grade,Pace and Bonilla,No,Mee,Most,Rais,Bostford,YES
5/31/2018 9:45:59,rhialto@outlook.com,Brady,Benny,11th Grade,Pacheco and Gentile,No,"O'Hara McCray - Fun, Food, and Feliz",Ms. Houston - Gabbing and Games (new teacher!),Mee,Murphy/Bade- Animal Rights,YES
5/31/2018 9:46:03,hermes@sbcglobal.net,Moses,Rosie,10th Grade,Mrs botsford,Yes,Bostford,Singer/Enos - Ultimate Frisbee,"O'Hara McCray - Fun, Food, and Feliz",Archer,YES
5/31/2018 9:46:03,mhoffman@aol.com,Monroe,Jameson,10th Grade,John Morrow,Yes,Milligan - Sententiae Antiguae,Morrow - Music Appreciation,"O'Hara McCray - Fun, Food, and Feliz",Singer/Enos - Ultimate Frisbee,YES
5/31/2018 9:46:03,alfred@gmail.com,Mills,Foxy,10th Grade,Racine ,No,"O'Hara McCray - Fun, Food, and Feliz",Morrow - Music Appreciation,Bonilla,Mr. Houston - All Things International (new teacher!),YES
5/31/2018 9:46:09,haddawy@icloud.com,Bright,Gus,11th Grade,Churchill :) ,Yes,Churchill - Paper Recycling,Bostford,Gentile,Pace,YES
5/31/2018 9:46:09,dalamb@outlook.com,Hardy,Mac,10th Grade,mrs mullin,No,Churchill - Paper Recycling,"O'Hara McCray - Fun, Food, and Feliz",Doherty - Knit & DIYs,Wooton - Bottle Recycling/Current Events,NO
5/31/2018 9:46:11,shazow@att.net,Nielsen,Oliver,10th Grade,churchill ,Yes,Churchill - Paper Recycling,"O'Hara McCray - Fun, Food, and Feliz",Murphy/Bade- Animal Rights,Doherty - Knit & DIYs,NO
5/31/2018 9:46:14,nullchar@sbcglobal.net,Kelley,Lilly,12th Grade,Mr. Enos ,No,Rais,"O'Hara McCray - Fun, Food, and Feliz",Doherty - Knit & DIYs,Bostford,NO
5/31/2018 9:46:14,jandrese@aol.com,Blackburn,Moose,11th Grade,O’hara/ McCray,Yes,"O'Hara McCray - Fun, Food, and Feliz",Churchill - Paper Recycling,Pagenkopf - Math is Awesome!,Morrow - Music Appreciation,YES
5/31/2018 9:46:16,barlow@msn.com,Nash,Max,12th Grade,Morrow,No,"O'Hara McCray - Fun, Food, and Feliz",Doherty - Knit & DIYs,Pacheco - Random Acts of Kindness,Forget,YES
5/31/2018 9:46:18,sartak@comcast.net,Keller,Sherman,12th Grade,Weida,No,Sevits,King,Rais,Archer,YES
5/31/2018 9:46:20,scottlee@live.com,Mooney,Hannah,11th Grade,McDowell,No,Pagenkopf - Math is Awesome!,Kelley - Big Think,Mr. Houston - All Things International (new teacher!),Morrow - Music Appreciation,YES
5/31/2018 9:46:20,parsimony@live.com,Bolton,Cash,11th Grade,Racine/Archer,No,Sevits,Singer/Enos - Ultimate Frisbee,Archer,Churchill - Paper Recycling,NO
5/31/2018 9:46:25,bahwi@yahoo.ca,Lucero,Teddy,11th Grade,Sevits/Aldo,No,"O'Hara McCray - Fun, Food, and Feliz",Singer/Enos - Ultimate Frisbee,King,Morrow - Music Appreciation,NO
5/31/2018 9:46:25,dmiller@sbcglobal.net,Robinson,Ranger,11th Grade,Arledge/Bade,No,Bostford,Murphy/Bade- Animal Rights,Kelly,Moynihan - Nutrition Nuts,YES
5/31/2018 9:46:26,noneme@msn.com,Brennan,Bo,12th Grade,Pacheco/Gentile,No,Most,Kelly,King,Forget,YES
5/31/2018 9:46:27,garland@att.net,Rowe,Charlie,12th Grade,Moynihan ,Yes,Rais,Moynihan - Nutrition Nuts,Bonilla,Tecklenburg/McDowell,NO
