Timestamp,Email Address,LAST NAME,FIRST NAME,GRADE ENTERING NEXT YEAR,CURRENT ADVISOR,WOULD YOU LIKE TO HAVE THE SAME ADVISOR NEXT YEAR?,Please rank your advisor preference: [First choice],Please rank your advisor preference: [Second choice],Please rank your advisor preference: [Third choice],Please rank your advisor preference: [Fourth choice],Would you consider having a new teacher as an advisor?,
5/31/2018 9:25:57,larry@icloud.com,Li,Bonnie,10th Grade,Stacey Strong,No,Ms. Milne/Ms. Prantis/Origami Advisory,Ms. Mead/ Snack attack!,Ms. Newcombe,Mr. Crowell,YES,
5/31/2018 9:34:04,kourai@yahoo.com,Schwartz,Rufus,12th Grade,Raftery,Yes,Ms. Raftery,Dr. Sampou/Recycling the Right Way,Ms. Monfort,Mr. Crowell,NO,
5/31/2018 9:37:37,neonatus@optonline.net,Chavez,Samson,10th Grade,Mr. Mckay,Yes,Mr. McKay,Ms. Pohlman,Mr. Abel,Mrs. Abel,NO,
5/31/2018 9:38:20,dkeeler@icloud.com,Henry,Dexter,12th Grade,mr mckay,Yes,Mr. McKay,Mr. Abel,Ms. Mead/ Snack attack!,Mrs. Abel,NO,
5/31/2018 9:38:48,amaranth@msn.com,Jenkins,Ollie,11th Grade,Bihl,No,Ms. Mead/ Snack attack!,Ms. Newcombe,Ms. Monfort,Ms. Lambdin,NO,
5/31/2018 9:44:59,eimear@msn.com,Peters,Zoey,10th Grade,Dr. Pete ,No,Ms. Mead/ Snack attack!,Ms. Newcombe,Mr. Bundy,Mrs. Abel,YES,
5/31/2018 9:39:08,osaru@yahoo.com,Newman,Nala,11th Grade,Bihl,Yes,Mr. Bihl,Ms. Young/Theatre Advisory,Ms. Sheeler/Music & the Arts Alive Advisory,Ms. Monfort,YES,
5/31/2018 9:39:15,errxn@mac.com,Preston,Hunter,10th Grade,Ms. Young,Yes,Mr. Abel,Ms. Young/Theatre Advisory,Ms. Newcombe,Ms. Mead/ Snack attack!,YES,
5/31/2018 9:50:15,crusader@optonline.net,Hopkins,Henry,12th Grade,Newcombe,No,Dr. Sampou/Recycling the Right Way,Ms. Newcombe,Mr. Abel,Mr. Bundy,NO,
5/31/2018 9:39:26,vganesh@yahoo.com,Schmitt,Jake,12th Grade,Krumvieda ,No,Mr. Bundy,Mme Blanc,Mr. Abel,Ms. Raftery,YES,
5/31/2018 9:39:41,mstrout@live.com,Villanueva,Sadie,10th Grade,Ms. Young,Yes,Ms. Young/Theatre Advisory,Ms. Mead/ Snack attack!,Ms. Newcombe,Mr. Abel,YES,
5/31/2018 9:39:41,tromey@icloud.com,Hicks,Chewy,12th Grade,Lambdin,Yes,Ms. Lambdin,Mr. Abel,Mrs. Abel,Ms. Sandland,NO,
5/31/2018 9:44:37,storerm@me.com,Kirk,Dodger,10th Grade,Ms. Newcombe ,Yes,Ms. Newcombe,Ms. Young/Theatre Advisory,Ms. Sheeler/Music & the Arts Alive Advisory,Mr. Bundy,NO,
5/31/2018 9:39:56,singer@yahoo.com,Porter,Oscar,12th Grade,Ms. Lambdin,Yes,Ms. Lambdin,Mr. McKay,Ms. Mead/ Snack attack!,Ms. Newcombe,NO,
5/31/2018 9:40:07,campware@att.net,Buckley,Chase,11th Grade,sheeler ,Yes,Ms. Sheeler/Music & the Arts Alive Advisory,Mr. Wojtowicz,Dr. Wright,Mr. Bundy,NO,
5/31/2018 9:40:17,rddesign@hotmail.com,Maddox,Harry,11th Grade,Ms. Sheeler,Yes,Ms. Sheeler/Music & the Arts Alive Advisory,Mr. Wojtowicz,Dr. Wright,Mr. Abel,NO,1
5/31/2018 9:40:18,geekoid@mac.com,Lowe,Copper,11th Grade,Sheeler ,Yes,Ms. Sheeler/Music & the Arts Alive Advisory,Mr. Wojtowicz,Dr. Wright,Mrs. Abel,NO,1
5/31/2018 9:40:24,frederic@hotmail.com,Mays,Duke,12th Grade,Young ,Yes,Ms. Young/Theatre Advisory,Mr. Crowell,Ms. Newcombe,Mr. McKay,NO,
5/31/2018 9:40:26,crowemojo@outlook.com,Carson,Trixie,11th Grade,Lambdin,Yes,Ms. Mead/ Snack attack!,Ms. Newcombe,Ms. Lambdin,Mme. O'Keefe,YES,
5/31/2018 9:40:32,nelson@mac.com,Kennedy,Cisco,12th Grade,Mckay ,Yes,Mr. McKay,Ms. Newcombe,Mrs. Abel,Mr. Crowell,NO,
5/31/2018 9:40:37,themer@yahoo.com,Rivera,Apollo,12th Grade,Mrs Newcombe ,Yes,Mr. McKay,Ms. Newcombe,Mr. Crowell,Mme Blanc,NO,
5/31/2018 9:40:45,mdielmann@verizon.net,Rosario,Cooper,11th Grade,Mrs. Singh,No,Mr. Abel,Mrs. Abel,Ms. Raftery,Ms. Lambdin,NO,
5/31/2018 9:40:46,lipeng@sbcglobal.net,Love,Millie,12th Grade,Mr. Hyer,No,Dr. Wright,Mr. McKay,Mrs. Abel,Ms. Mead/ Snack attack!,NO,
5/31/2018 9:40:47,crowl@optonline.net,Copeland,Panda,11th Grade,Ms. Sheeler,Yes,Mr. Abel,Mrs. Abel,Mr. Bundy,Mr. Crowell,NO,
5/31/2018 9:40:48,kohlis@hotmail.com,Lawrence,Layla,10th Grade,Mrs. Polhman ,No,Ms. Newcombe,Mme. O'Keefe,Ms. Pohlman,Ms. Yalden/Healthy Living Advisory,YES,
5/31/2018 9:40:58,eurohack@gmail.com,Reynolds,Sophie,12th Grade,Mrs. Young ,Yes,Ms. Young/Theatre Advisory,Mrs. Abel,Mr. Abel,Mr. Crowell,NO,
5/31/2018 9:41:04,ribet@optonline.net,Hunter,Peanut,11th Grade,Mrs Singh,Yes,Ms. Monfort,Ms. Mead/ Snack attack!,Ms. Wheeler,Dr. Wright,YES,
5/31/2018 9:41:05,smeier@me.com,Lang,Sasha,11th Grade,Mrs. Young,Yes,Ms. Young/Theatre Advisory,Ms. Milne/Ms. Prantis/Origami Advisory,Dr. Sampou/Recycling the Right Way,Ms. Strong/ROVers Advisory,YES,
5/31/2018 9:41:05,ramollin@outlook.com,Melton,Guinness,10th Grade,MRS. SHEELER,Yes,Ms. Sheeler/Music & the Arts Alive Advisory,Ms. Mead/ Snack attack!,Mr. Wojtowicz,Mr. Abel,NO,
5/31/2018 9:41:13,luvirini@verizon.net,Burch,Heidi,11th Grade,Mrs.Aign,Yes,Ms. Mead/ Snack attack!,Ms. Monfort,Ms. Newcombe,Ms. Raftery,YES,
5/31/2018 9:41:17,purvis@me.com,Ochoa,Milo,11th Grade,Ms. Newcombe ,Yes,Ms. Newcombe,Mr. McKay,Mr. Abel,Mrs. Abel,NO,
5/31/2018 9:41:18,conteb@sbcglobal.net,Tate,Baby,10th Grade,Sheeler,Yes,Ms. Sheeler/Music & the Arts Alive Advisory,Mr. Wojtowicz,Dr. Wright,Mr. Abel,NO,1
5/31/2018 9:41:22,petersen@hotmail.com,Hickman,Macy,12th Grade,Raftery ,Yes,Ms. Raftery,Mr. McKay,Ms. Mead/ Snack attack!,Mrs. Abel,NO,
5/31/2018 9:41:24,fviegas@hotmail.com,Huff,Scooter,10th Grade,Sheeler,Yes,Ms. Sheeler/Music & the Arts Alive Advisory,Mr. Crowell,Ms. Mead/ Snack attack!,Mrs. Abel,NO,
5/31/2018 9:41:24,aegreene@comcast.net,Hamilton,Alex,10th Grade,Mrs Young,Yes,Ms. Mead/ Snack attack!,Ms. Young/Theatre Advisory,Ms. Yalden/Healthy Living Advisory,Ms. Wheeler,YES,
5/31/2018 9:41:26,wetter@verizon.net,Pena,Riley,12th Grade,Mrs. Strong,Yes,Ms. Strong/ROVers Advisory,Ms. Sandland,Ms. Sheeler/Music & the Arts Alive Advisory,Dr. Sampou/Recycling the Right Way,NO,
5/31/2018 9:41:40,kronvold@att.net,Briggs,Oakley,11th Grade,Mrs. Lambdin,No,Mr. McKay,Ms. Monfort,Mr. Wojtowicz,Ms. Mead/ Snack attack!,NO,
5/31/2018 9:41:42,ahmad@hotmail.com,Silva,Rudy,10th Grade,Ms.singh,No,Ms. Mead/ Snack attack!,Mr. McKay,Mr. Bundy,Ms. Young/Theatre Advisory,YES,1
5/31/2018 9:41:44,william@optonline.net,Barry,Minnie,12th Grade,Ms. Agostinelli,No,Ms. Sheeler/Music & the Arts Alive Advisory,Mr. McKay,Mr. Abel,Ms. Young/Theatre Advisory,NO,12
5/31/2018 9:41:48,niknejad@outlook.com,Martin,Angel,12th Grade,Mrs. Young,No,Mr. Fetzer,Mr. Bundy,Ms. Sheeler/Music & the Arts Alive Advisory,Ms. Young/Theatre Advisory,YES,
5/31/2018 9:41:51,cparis@mac.com,Saunders,Ginger,12th Grade,Singh,No,Ms. Monfort,Ms. Lambdin,Mrs. Abel,Dr. Sampou/Recycling the Right Way,NO,
5/31/2018 9:42:00,kempsonc@yahoo.ca,Richards,Bentley,11th Grade,Milne,No,Mr. McKay,Ms. Mead/ Snack attack!,Ms. Monfort,Mrs. Abel,YES,1
5/31/2018 9:42:07,barnett@me.com,Mcdonald,Cocoa,12th Grade,crowell,Yes,Mr. Crowell,Dr. Sampou/Recycling the Right Way,Mrs. Abel,Mr. Bihl,NO,
5/31/2018 9:42:10,dhrakar@icloud.com,Waller,Gizmo,11th Grade,Ms.Newcombe,Yes,Ms. Newcombe,Mr. McKay,Ms. Lambdin,Mr. Abel,NO,
5/31/2018 12:07:00,srour@yahoo.ca,Simpson,Leo,10th Grade,Mrs. Strong ,No,Mr. Crowell,Ms. Mead/ Snack attack!,Ms. Pohlman,Mr. Bundy,NO,
5/31/2018 9:42:14,crowemojo@hotmail.com,Moody,Rocky,11th Grade,Ms. Newcombe,Yes,Ms. Newcombe,Mr. McKay,Ms. Sheeler/Music & the Arts Alive Advisory,Mr. Crowell,NO,
5/31/2018 9:42:15,ntegrity@icloud.com,Clayton,Murphy,11th Grade,Lambdin,Yes,Ms. Mead/ Snack attack!,Ms. Newcombe,Ms. Lambdin,Mme. O'Keefe,NO,
5/31/2018 9:42:16,ylchang@me.com,Pearson,Zeus,11th Grade,Ms.Newcombe,Yes,Ms. Newcombe,Ms. Lambdin,Mr. Bundy,Dr. Wright,NO,
5/31/2018 9:42:18,juliano@mac.com,Owen,Otis,11th Grade,Sheeler,Yes,Ms. Sheeler/Music & the Arts Alive Advisory,Mr. McKay,Ms. Mead/ Snack attack!,Ms. Newcombe,YES,
5/31/2018 9:42:20,amimojo@yahoo.com,Knox,Yoda,10th Grade,Mrs. Yalden,Yes,Ms. Yalden/Healthy Living Advisory,Ms. Mead/ Snack attack!,Ms. Wheeler,Ms. Young/Theatre Advisory,NO,
5/31/2018 9:42:21,dpitts@optonline.net,Ayers,Gracie,12th Grade,Raftery,Yes,Ms. Raftery,Dr. Sampou/Recycling the Right Way,Mrs. Abel,Ms. Newcombe,NO,
5/31/2018 9:42:22,rtanter@yahoo.ca,Marshall,Buster,12th Grade,Newcombe,Yes,Ms. Newcombe,Ms. Sandland,Ms. Sheeler/Music & the Arts Alive Advisory,Mrs. Abel,NO,
5/31/2018 9:42:24,curly@comcast.net,Foster,Roscoe,11th Grade,Bihl,Yes,Mr. Bihl,Ms. Monfort,Ms. Sheeler/Music & the Arts Alive Advisory,Dr. Wright,YES,
5/31/2018 9:42:28,matthijs@att.net,Carroll,Champ,11th Grade,Mr. Abel,Yes,Mr. Abel,Ms. Sandland,Ms. Mead/ Snack attack!,Mr. McKay,NO,69
5/31/2018 9:42:29,cumarana@icloud.com,Castaneda,Luna,10th Grade,Ms Newcombe,No,Ms. Young/Theatre Advisory,Ms. Pohlman,Mr. Bundy,Ms. Milne/Ms. Prantis/Origami Advisory,YES,
5/31/2018 9:42:30,evilopie@gmail.com,Morrison,Daisy,10th Grade,Milne,No,Ms. Yalden/Healthy Living Advisory,Ms. Newcombe,Ms. Wheeler,Ms. Mead/ Snack attack!,YES,
5/31/2018 9:42:31,mgreen@aol.com,Clay,Princess,10th Grade,Ms. Sheeler,No,Ms. Mead/ Snack attack!,Mr. Abel,Mr. Crowell,Ms. Sheeler/Music & the Arts Alive Advisory,YES,
5/31/2018 9:42:47,gknauss@me.com,Skinner,Winston,12th Grade,C. Abel,Yes,Mr. Abel,Ms. Manrique/Latin American Culture Advisory,Ms. Mead/ Snack attack!,Mr. McKay,NO,
5/31/2018 9:42:49,wayward@verizon.net,Huang,Foster,12th Grade,Mrs Abel,Yes,Mrs. Abel,Mr. Crowell,Mr. McKay,Ms. Sandland,NO,
5/31/2018 9:42:52,burniske@aol.com,Hatfield,Bruiser,10th Grade,Mrs. Milne,No,Ms. Pohlman,Ms. Yalden/Healthy Living Advisory,Dr. Wright,Ms. Wheeler,NO,
5/31/2018 9:42:53,rtanter@sbcglobal.net,Ramsey,Maximus,12th Grade,Crowell,Yes,Mr. Crowell,Mr. Abel,Mrs. Abel,Ms. Newcombe,NO,
5/31/2018 9:42:54,sethbrown@att.net,Branch,Shadow,10th Grade,Mrs. Agostonelli,No,Ms. Pohlman,Ms. Milne/Ms. Prantis/Origami Advisory,Ms. Manrique/Latin American Culture Advisory,Mr. Abel,YES,
5/31/2018 9:42:56,leocharre@yahoo.ca,Weaver,Missy,12th Grade,Joel Tallman ,No,Ms. Mead/ Snack attack!,Mr. Tallman/Word Games Advisory,Mr. Abel,Mrs. Abel,NO,
5/31/2018 9:42:57,raides@icloud.com,Burnett,Piper,10th Grade,Mrs. Pohlman,No,Ms. Young/Theatre Advisory,Ms. Mead/ Snack attack!,Ms. Milne/Ms. Prantis/Origami Advisory,Mr. Bundy,YES,
5/31/2018 9:43:01,smartfart@gmail.com,James,Chico,11th Grade,Okeefe ,No,Mr. Abel,Ms. Sandland,Ms. Mead/ Snack attack!,Mr. McKay,NO,
5/31/2018 9:43:02,imightb@mac.com,Mason,Delilah,12th Grade,Dr. Pete,No,Ms. Manrique/Latin American Culture Advisory,Mr. McKay,Ms. Mead/ Snack attack!,Dr. Sampou/Recycling the Right Way,NO,
5/31/2018 9:44:28,kevinm@live.com,Obrien,Chloe,11th Grade,Mr.mcdonald,No,Mrs. Abel,Ms. Sandland,Ms. Mead/ Snack attack!,Mr. McKay,NO,69
5/31/2018 9:43:15,wainwrig@hotmail.com,Ewing,Honey,10th Grade,Mr Hyer,No,Ms. Mead/ Snack attack!,Ms. Monfort,Ms. Raftery,Mr. McKay,NO,
5/31/2018 9:43:19,kawasaki@aol.com,Oneal,Josie,10th Grade,Milne,No,Ms. Wheeler,Ms. Pohlman,Ms. Mead/ Snack attack!,Mr. McKay,YES,
5/31/2018 9:43:37,janusfury@hotmail.com,Ali,Louie,10th Grade,Dr. Wright,No,Ms. Sheeler/Music & the Arts Alive Advisory,Ms. Mead/ Snack attack!,Ms. Strong/ROVers Advisory,Mr. Crowell,YES,
5/31/2018 9:43:24,jlbaumga@msn.com,House,Roxie,11th Grade,Bhile,No,Dr. Sampou/Recycling the Right Way,Mme. O'Keefe,Ms. Sandland,Ms. Yalden/Healthy Living Advisory,YES,
5/31/2018 9:43:26,shrapnull@yahoo.ca,Garcia,Kona,12th Grade,Mr. hyer,Yes,Dr. Wright,Dr. Sampou/Recycling the Right Way,Mme Blanc,Mr. McKay,NO,
5/31/2018 9:43:28,cmdrgravy@verizon.net,Moyer,Sally,12th Grade,O'Keefe,No,Mrs. Abel,Mr. Crowell,Ms. Lambdin,Ms. Milne/Ms. Prantis/Origami Advisory,NO,
5/31/2018 9:43:30,tskirvin@mac.com,Mcdaniel,Miley,11th Grade,Ms. Raftery ,Yes,Ms. Raftery,Ms. Mead/ Snack attack!,Ms. Lambdin,Ms. Yalden/Healthy Living Advisory,NO,
5/31/2018 9:43:30,dhwon@mac.com,Mora,Toby,10th Grade,Mrs Milne ,No,Ms. Mead/ Snack attack!,Ms. Young/Theatre Advisory,Mr. Abel,Ms. Newcombe,YES,
5/31/2018 9:43:36,amcuri@me.com,Cooper,Samantha,11th Grade,Ms. Yalden,No,Ms. Manrique/Latin American Culture Advisory,Ms. Mead/ Snack attack!,Ms. Monfort,Ms. Raftery,YES,
5/31/2018 9:43:36,danny@icloud.com,Ferrell,Athena,12th Grade,Raftery ,Yes,Ms. Raftery,Mr. McKay,Ms. Mead/ Snack attack!,Mr. Crowell,NO,
5/31/2018 9:43:40,stern@sbcglobal.net,Wilkins,Bella,11th Grade,Mrs Singh,Yes,Mr. McKay,Ms. Monfort,Ms. Lambdin,Mrs. Abel,YES,
5/31/2018 9:43:52,liedra@icloud.com,Randolph,Mickey,10th Grade,Mr. Hyer,No,Ms. Monfort,Ms. Raftery,Ms. Pohlman,Mrs. Abel,NO,
5/31/2018 9:43:54,pspoole@comcast.net,Holden,Blue,12th Grade,Ms. Wheeler,Yes,Ms. Wheeler,Ms. Mead/ Snack attack!,Ms. Monfort,Ms. Manrique/Latin American Culture Advisory,NO,
5/31/2018 9:43:56,wojciech@live.com,Lamb,Monkey,12th Grade,Ms. Williams,Yes,Mr. Fetzer,Mr. Abel,Ms. Farooqi,Mr. Bihl,YES,
5/31/2018 9:58:56,alhajj@att.net,Taylor,Loki,10th Grade,Mrs. Pohlman,Yes,Ms. Pohlman,Ms. Mead/ Snack attack!,Ms. Wheeler,Mr. Bihl,NO,
5/31/2018 9:44:04,north@icloud.com,Lewis,Beau,12th Grade,Ms. Sheeler,No,Ms. Sandland,Ms. Sheeler/Music & the Arts Alive Advisory,Mr. Abel,Ms. Strong/ROVers Advisory,NO,
5/31/2018 9:44:09,djpig@icloud.com,Banks,Hank,10th Grade,Mr. Bihl,No,Ms. Mead/ Snack attack!,Ms. Sheeler/Music & the Arts Alive Advisory,Mr. Crowell,Mr. Bundy,YES,
5/31/2018 9:44:10,thurston@me.com,Kaiser,Bruno,11th Grade,Bundy,No,Ms. Sheeler/Music & the Arts Alive Advisory,Mr. Wojtowicz,Dr. Wright,Mrs. Abel,YES,
5/31/2018 9:44:13,seebs@mac.com,Phillips,Lucky,11th Grade,Bundy ,Yes,Mr. Bihl,Mr. Bundy,Ms. Monfort,Dr. Wright,YES,
5/31/2018 9:44:18,kludge@yahoo.ca,Figueroa,Emma,12th Grade,Pohlman,No,Ms. Mead/ Snack attack!,Mr. McKay,Ms. Manrique/Latin American Culture Advisory,Mr. Abel,NO,
5/31/2018 9:44:19,jonas@att.net,Cherry,Bear,12th Grade,Mead,No,Ms. Manrique/Latin American Culture Advisory,Mr. McKay,Ms. Mead/ Snack attack!,Ms. Newcombe,NO,
5/31/2018 9:44:20,demmel@optonline.net,Foley,Porter,12th Grade,Hyer ,No,Mr. Crowell,Mr. McKay,Mr. Abel,Ms. Mead/ Snack attack!,NO,
5/31/2018 9:44:20,jacks@live.com,Sandoval,Brandy,11th Grade,Crowl,No,Mr. Abel,Ms. Sandland,Ms. Mead/ Snack attack!,Mr. McKay,NO,420
5/31/2018 9:44:21,osaru@outlook.com,Douglas,Raven,11th Grade,Ms Mead,Yes,Ms. Mead/ Snack attack!,Ms. Newcombe,Mr. McKay,Mrs. Abel,NO,
5/31/2018 9:44:22,pkplex@gmail.com,Macias,Lady,11th Grade,mr abel,Yes,Mr. Abel,Ms. Mead/ Snack attack!,Mrs. Abel,Ms. Lambdin,NO,
5/31/2018 9:44:28,eimear@me.com,Dodson,Sydney,10th Grade,Ms. Krumvieda,No,Dr. Sampou/Recycling the Right Way,Ms. Mead/ Snack attack!,Ms. Manrique/Latin American Culture Advisory,Mr. Bundy,YES,
5/31/2018 9:44:40,hling@yahoo.com,Palmer,Luke,11th Grade,Mrs raftery ,No,Mr. McKay,Ms. Sheeler/Music & the Arts Alive Advisory,Ms. Lambdin,Ms. Wheeler,YES,
5/31/2018 9:44:42,josem@gmail.com,Whitaker,George,12th Grade,Mr. Hyer,No,Mr. Crowell,Mr. McKay,Mr. Abel,Ms. Mead/ Snack attack!,NO,
5/31/2018 9:44:42,lstein@me.com,Harmon,Cricket,11th Grade,Williams,No,Mr. Crowell,Mr. McKay,Ms. Monfort,Ms. Sandland,YES,
5/31/2018 9:44:43,jmgomez@sbcglobal.net,Richmond,Dixie,12th Grade,Williams ,Yes,Ms. Young/Theatre Advisory,Mr. Crowell,Mr. McKay,Ms. Pohlman,YES,8
5/31/2018 9:44:44,gator@aol.com,Solomon,Abby,12th Grade,Mr. Abel ,Yes,Mr. Abel,Ms. Mead/ Snack attack!,Ms. Monfort,Ms. Newcombe,NO,
5/31/2018 9:44:44,sumdumass@sbcglobal.net,Alvarez,Bruce,12th Grade,Mr. Hyer,No,Mr. Crowell,Mr. McKay,Mr. Abel,Ms. Mead/ Snack attack!,NO,
5/31/2018 9:44:44,shaffei@mac.com,Tran,Winnie,11th Grade,Mcdonald,No,Mr. Abel,Ms. Sandland,Ms. Mead/ Snack attack!,Mr. McKay,NO,420
5/31/2018 9:44:45,dmath@aol.com,Rhodes,Cleo,12th Grade,Ms. Manrique ,Yes,Ms. Manrique/Latin American Culture Advisory,Mr. McKay,Dr. Sampou/Recycling the Right Way,Mr. Bundy,NO,
5/31/2018 9:44:47,tellis@optonline.net,Santos,Casey,10th Grade,Lambdin ,No,Ms. Pohlman,Mr. Fetzer,Ms. Mead/ Snack attack!,Ms. Lambdin,YES,
5/31/2018 9:51:04,russotto@sbcglobal.net,Miles,Willow,11th Grade,Bihl,No,Ms. Sheeler/Music & the Arts Alive Advisory,Ms. Strong/ROVers Advisory,Ms. Lambdin,Ms. Mead/ Snack attack!,NO,
5/31/2018 9:44:53,leviathan@outlook.com,Cannon,Callie,10th Grade,Mr. Crowell,Yes,Ms. Young/Theatre Advisory,Mr. Crowell,Ms. Mead/ Snack attack!,Ms. Newcombe,YES,
5/31/2018 9:45:01,gregh@optonline.net,Cameron,Brutus,11th Grade,Mrs. Williams,Yes,Ms. Sheeler/Music & the Arts Alive Advisory,Ms. Sandland,Ms. Lambdin,Mrs. Abel,YES,
5/31/2018 9:45:02,british@comcast.net,Bowman,Sparky,11th Grade,Ms. Mead ,No,Mr. McKay,Ms. Lambdin,Ms. Newcombe,Mr. Crowell,NO,
5/31/2018 9:45:03,jdhildeb@yahoo.com,Nguyen,Lola,11th Grade,Wheeler,No,Ms. Mead/ Snack attack!,Ms. Yalden/Healthy Living Advisory,Ms. Manrique/Latin American Culture Advisory,Mrs. Abel,NO,
5/31/2018 9:45:07,mhouston@comcast.net,Russo,Dolce,11th Grade,Mrs. Williams,Yes,Ms. Wheeler,Mr. Bundy,Ms. Lambdin,Ms. Farooqi,NO,
5/31/2018 9:45:07,rhialto@outlook.com,Brady,Benny,10th Grade,Ms Mead,Yes,Ms. Mead/ Snack attack!,Mrs. Abel,Ms. Young/Theatre Advisory,Ms. Wheeler,NO,
5/31/2018 9:45:07,hermes@sbcglobal.net,Moses,Rosie,11th Grade,Mr Hyer,No,Mr. McKay,Ms. Lambdin,Ms. Mead/ Snack attack!,Dr. Sampou/Recycling the Right Way,YES,
5/31/2018 9:45:11,mhoffman@aol.com,Monroe,Jameson,11th Grade,Sheeler,Yes,Ms. Sheeler/Music & the Arts Alive Advisory,Mr. Wojtowicz,Dr. Wright,Mrs. Abel,NO,
5/31/2018 9:45:13,alfred@gmail.com,Mills,Foxy,12th Grade,Pohlmen,No,Ms. Wheeler,Ms. Sheeler/Music & the Arts Alive Advisory,Mr. McKay,Mr. Abel,YES,
5/31/2018 9:45:14,haddawy@icloud.com,Bright,Gus,10th Grade,Madame Blanc ,No,Mr. McKay,Mr. Fetzer,Ms. Newcombe,Ms. Mead/ Snack attack!,YES,
5/31/2018 9:45:35,dalamb@outlook.com,Hardy,Mac,11th Grade,Young,Yes,Mr. Wojtowicz,Ms. Sandland,Ms. Mead/ Snack attack!,Ms. Lambdin,YES,
5/31/2018 9:45:40,shazow@att.net,Nielsen,Oliver,12th Grade,Mrs Young,Yes,Ms. Young/Theatre Advisory,Mr. McKay,Ms. Mead/ Snack attack!,Mr. Abel,NO,
5/31/2018 9:45:43,nullchar@sbcglobal.net,Kelley,Lilly,11th Grade,Ms. Young,No,Mr. McKay,Ms. Manrique/Latin American Culture Advisory,Ms. Young/Theatre Advisory,Mr. Crowell,YES,
5/31/2018 9:45:50,jandrese@aol.com,Blackburn,Moose,12th Grade,Ms. Williams,Yes,Ms. Manrique/Latin American Culture Advisory,Ms. Mead/ Snack attack!,Mrs. Abel,Dr. Sampou/Recycling the Right Way,NO,
5/31/2018 9:46:00,barlow@msn.com,Nash,Max,12th Grade,Fetz,No,Dr. Sampou/Recycling the Right Way,Mr. Abel,Ms. Raftery,Mr. Bihl,NO,
5/31/2018 9:46:01,sartak@comcast.net,Keller,Sherman,12th Grade,Krumvieda,No,Mr. Abel,Mrs. Abel,Ms. Monfort,Ms. Sheeler/Music & the Arts Alive Advisory,NO,
5/31/2018 9:46:02,scottlee@live.com,Mooney,Hannah,11th Grade,Ms mead,Yes,Ms. Mead/ Snack attack!,Ms. Newcombe,Mr. McKay,Mrs. Abel,NO,
5/31/2018 9:46:09,parsimony@live.com,Bolton,Cash,12th Grade,Williams ,Yes,Mrs. Abel,Ms. Manrique/Latin American Culture Advisory,Ms. Monfort,Ms. Young/Theatre Advisory,NO,
5/31/2018 9:46:12,bahwi@yahoo.ca,Lucero,Teddy,12th Grade,Mrs.Williams,Yes,Ms. Manrique/Latin American Culture Advisory,Ms. Mead/ Snack attack!,Ms. Raftery,Mrs. Abel,NO,
